,BRANCH,ADDRESS,CITY,ZIP,YEAR,MONTH,CIRCULATION,MONTH_NUM
98,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,MARCH,4934,3
99,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,APRIL,4206,4
100,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,MAY,3875,5
101,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,JUNE,5239,6
102,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,JULY,5104,7
103,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,AUGUST,5093,8
104,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,SEPTEMBER,4284,9
105,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,OCTOBER,4482,10
106,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,NOVEMBER,4891,11
107,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2024,DECEMBER,3930,12
108,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,JANUARY,4376,1
109,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,FEBRUARY,4567,2
110,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,MARCH,4959,3
111,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,APRIL,4233,4
112,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,MAY,4065,5
113,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,JUNE,4163,6
114,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,JULY,5423,7
115,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,AUGUST,4712,8
116,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,SEPTEMBER,4229,9
117,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,OCTOBER,4667,10
118,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,NOVEMBER,3950,11
119,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2025,DECEMBER,4182,12
120,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,JANUARY,1258,1
121,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,FEBRUARY,708,2
122,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,MARCH,854,3
123,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,APRIL,804,4
124,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,MAY,816,5
125,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,JUNE,870,6
126,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,JULY,713,7
127,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,AUGUST,480,8
128,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,SEPTEMBER,702,9
129,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,OCTOBER,927,10
130,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,NOVEMBER,787,11
131,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2011,DECEMBER,692,12
132,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,JANUARY,674,1
133,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,FEBRUARY,513,2
134,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,MARCH,401,3
135,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,APRIL,631,4
136,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,MAY,531,5
137,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,JUNE,661,6
138,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,JULY,809,7
139,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,AUGUST,987,8
140,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,SEPTEMBER,1346,9
141,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,OCTOBER,1451,10
142,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,NOVEMBER,1030,11
143,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2012,DECEMBER,976,12
144,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,JANUARY,871,1
145,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,FEBRUARY,722,2
146,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,MARCH,754,3
147,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,APRIL,620,4
148,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,MAY,675,5
149,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,JUNE,614,6
150,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,JULY,873,7
151,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,AUGUST,816,8
152,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,SEPTEMBER,892,9
153,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,OCTOBER,993,10
154,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,NOVEMBER,797,11
155,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2013,DECEMBER,891,12
156,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,JANUARY,791,1
157,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,FEBRUARY,604,2
158,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,MARCH,522,3
159,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,APRIL,611,4
160,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,MAY,587,5
161,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,JUNE,729,6
162,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,JULY,743,7
163,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,AUGUST,742,8
164,Altgeld,13281 S. Corliss Avenue,CHICAGO,60827.0,2014,SEPTEMBER,776,9
