BRANCH,YEAR,VISITORS,CIRCULATION,COMPUTER SESSIONS,LAT,LON
Douglass,2023,21144.0,5779.0,11407.0,41.86441239309047,-87.71017465670012
Douglass,2024,24785.0,4835.0,13008.0,41.86441239309047,-87.71017465670012
Douglass,2025,42100.0,4356.0,12013.0,41.86441239309047,-87.71017465670012
Dunning,2020,54370.0,30500.0,4667.0,41.94319949471892,-87.81395164414246
Dunning,2021,71053.0,38197.0,7445.0,41.94319949471892,-87.81395164414246
Dunning,2022,72104.0,40511.0,8367.0,41.94319949471892,-87.81395164414246
Dunning,2023,68059.0,43328.0,9027.0,41.94319949471892,-87.81395164414246
Dunning,2024,83450.0,37141.0,10759.0,41.94319949471892,-87.81395164414246
Dunning,2025,76712.0,35915.0,9990.0,41.94319949471892,-87.81395164414246
Edgebrook,2020,47557.0,63999.0,3552.0,41.997213372156295,-87.76211751799003
Edgebrook,2021,52883.0,76668.0,3268.0,41.997213372156295,-87.76211751799003
Edgebrook,2022,66216.0,79259.0,4898.0,41.997213372156295,-87.76211751799003
Edgebrook,2023,68383.0,74826.0,5048.0,41.997213372156295,-87.76211751799003
Edgebrook,2024,60084.0,70506.0,4050.0,41.997213372156295,-87.76211751799003
Edgebrook,2025,75599.0,69440.0,4103.0,41.997213372156295,-87.76211751799003
Edgewater,2020,91450.0,103570.0,16476.0,41.99095923823291,-87.660442745415
Edgewater,2021,94307.0,127737.0,17329.0,41.99095923823291,-87.660442745415
Edgewater,2022,97850.0,124239.0,23702.0,41.99095923823291,-87.660442745415
Edgewater,2023,105360.0,124069.0,24525.0,41.99095923823291,-87.660442745415
Edgewater,2024,138562.0,122544.0,26670.0,41.99095923823291,-87.660442745415
Edgewater,2025,162421.0,124959.0,29698.0,41.99095923823291,-87.660442745415
Gage Park,2020,5311.0,3214.0,1093.0,41.79357525220078,-87.69413004003073
Gage Park,2021,4819.0,2773.0,590.0,41.79357525220078,-87.69413004003073
Gage Park,2022,17033.0,7493.0,2685.0,41.79357525220078,-87.69413004003073
Gage Park,2023,26190.0,9010.0,4048.0,41.79357525220078,-87.69413004003073
Gage Park,2024,18180.0,8643.0,3884.0,41.79357525220078,-87.69413004003073
Gage Park,2025,22794.0,7778.0,3771.0,41.79357525220078,-87.69413004003073
Galewood-Mont Clare,2020,3600.0,1705.0,0.0,41.9210332601157,-87.79791005523576
Galewood-Mont Clare,2021,0.0,0.0,0.0,41.9210332601157,-87.79791005523576
Galewood-Mont Clare,2022,0.0,0.0,0.0,41.9210332601157,-87.79791005523576
Galewood-Mont Clare,2023,0.0,0.0,0.0,41.9210332601157,-87.79791005523576
Galewood-Mont Clare,2024,0.0,0.0,0.0,41.9210332601157,-87.79791005523576
Galewood-Mont Clare,2025,0.0,0.0,0.0,41.9210332601157,-87.79791005523576
Garfield Ridge,2020,32285.0,28473.0,4182.0,41.792915800399726,-87.78013459023622
